applicant_id,age,gender,governorate,education,payment_on_time_rate,transaction_regularity_score,dispute_rate,months_with_provider,avg_monthly_airtime_tnd,mobile_topup_frequency,business_hours_data_usage,mobile_money_account,avg_monthly_transactions,marketplace_seller_rating,completed_transactions,receives_remittances,avg_monthly_remittance_tnd,peer_transfer_network_size,location_consistency_score,loan_product_category,requested_amount_tnd,term_months,TARGET
100000,21,M,Monastir,Primary,0.803,67.3,0.0,120,149.64,17,79.4,1,40,,0,1,2000.0,22,33.3,Business,82632.87,36,0
100001,21,F,Sousse,Graduate,0.246,25.4,0.2,55,45.49,17,58.2,1,37,1.23,252,0,0.0,28,66.7,Vehicle,31245.53,53,1
100002,68,F,Béja,Secondary,0.559,58.7,0.0,53,170.56,16,38.0,1,17,,0,0,0.0,10,66.7,Housing,178615.26,39,0
100003,30,F,Tataouine,Some University,0.204,31.9,0.0,58,200.0,6,52.2,0,0,,0,0,0.0,5,33.3,Housing,321977.81,42,0
100004,55,F,Bizerte,Secondary,0.686,69.1,0.0,56,104.54,11,80.9,0,0,,0,1,2000.0,11,66.7,Consumer,53014.08,50,0
100005,55,F,Kef,Secondary,0.845,41.0,0.0,80,200.0,20,58.2,0,0,,0,0,0.0,25,66.7,Housing,215526.88,18,0
100006,27,F,Tunis,Secondary,0.685,51.2,0.0,20,60.33,18,72.8,1,48,,0,0,0.0,25,100.0,Consumer,21328.71,40,0
100007,47,F,Gabès,Secondary,0.463,87.5,0.0,64,65.79,17,43.2,1,39,2.38,25,0,0.0,20,33.3,Consumer,11967.73,16,0
100008,26,M,Siliana,University,0.732,76.1,0.0,120,200.0,9,33.1,1,23,,0,0,0.0,8,66.7,Housing,166036.72,25,0
100009,22,F,Sousse,University,0.773,52.8,0.2,14,175.49,16,32.6,1,30,,0,0,0.0,13,66.7,Consumer,35026.41,22,0
100010,21,M,Bizerte,Primary,0.72,91.6,0.0,23,129.78,20,41.9,1,13,3.72,485,0,0.0,23,66.7,Consumer,43377.62,39,0
100011,45,F,Medenine,Secondary,0.58,23.9,0.2,84,88.65,17,77.2,0,0,,0,1,2000.0,20,33.3,Consumer,43348.52,53,1
100012,70,F,Bizerte,University,0.751,78.3,0.0,39,172.24,11,46.3,1,17,,0,0,0.0,11,66.7,Consumer,32375.69,18,0
100013,70,F,Sousse,University,0.854,37.6,0.2,55,200.0,15,62.4,1,28,4.26,466,0,0.0,29,66.7,Housing,192142.64,49,0
100014,21,F,Gabès,Secondary,0.871,79.4,0.0,26,200.0,6,31.4,0,0,4.18,48,1,2000.0,10,33.3,Housing,134802.68,19,0
100015,70,F,Siliana,University,0.659,62.8,0.0,90,200.0,4,48.9,0,0,3.39,69,1,2000.0,22,66.7,Housing,238350.18,21,0
100016,21,F,Bizerte,University,0.88,61.9,0.0,59,65.34,4,34.1,1,35,,0,0,0.0,26,66.7,Consumer,38990.18,56,0
100017,36,F,Sfax,University,0.824,76.4,0.2,6,200.0,15,79.1,1,20,4.26,430,0,0.0,27,33.3,Housing,201201.91,12,0
100018,40,F,Béja,Primary,0.818,38.9,0.0,46,200.0,13,52.0,1,10,,0,0,0.0,30,66.7,Consumer,40912.74,21,0
100019,21,F,Siliana,Some University,0.677,56.3,0.2,68,200.0,12,52.4,0,0,,0,0,0.0,5,66.7,Housing,637523.25,22,0
100020,28,F,Bizerte,University,0.912,66.7,0.0,78,200.0,7,79.4,1,34,,0,1,2000.0,8,66.7,Housing,282117.08,26,0
100021,70,M,Medenine,Secondary,0.436,76.0,0.4,120,129.19,17,40.3,0,0,,0,1,2000.0,18,33.3,Business,58053.14,29,0
100022,21,M,Jendouba,Primary,0.795,81.8,0.0,108,200.0,4,46.5,1,43,,0,0,0.0,8,66.7,Housing,224493.91,17,0
100023,70,F,Jendouba,University,0.626,78.3,0.0,120,113.03,5,59.2,0,0,,0,0,0.0,21,66.7,Consumer,33458.64,34,0
100024,21,F,Sfax,Some University,0.638,91.8,0.0,93,200.0,9,78.9,0,0,,0,0,0.0,24,100.0,Housing,127199.28,31,0
100025,40,M,Siliana,Secondary,0.746,58.2,0.0,66,157.61,8,81.9,1,17,,0,0,0.0,28,66.7,Housing,143438.37,42,0
100026,21,F,Tataouine,Some University,0.768,55.6,0.0,27,133.49,16,54.0,0,0,,0,1,2000.0,19,33.3,Housing,136538.87,54,0
100027,44,F,Siliana,University,0.427,68.9,0.2,47,200.0,8,34.7,1,36,2.21,387,0,0.0,8,66.7,Consumer,44815.9,26,0
100028,68,F,Gafsa,University,0.757,79.9,0.0,45,54.2,5,62.9,1,40,,0,0,0.0,22,33.3,Business,32730.23,38,0
100029,56,F,Kairouan,Secondary,0.829,76.1,0.0,25,98.94,8,47.1,1,31,,0,0,0.0,10,33.3,Consumer,29911.71,30,0
100030,63,M,Kef,University,0.542,44.6,0.2,77,200.0,4,77.1,1,45,,0,0,0.0,8,66.7,Consumer,26426.29,14,0
100031,26,M,Jendouba,Secondary,0.774,64.9,0.4,43,25.36,15,34.2,0,0,,0,0,0.0,15,66.7,Consumer,11579.48,51,0
100032,70,M,Jendouba,Secondary,0.602,73.6,0.0,34,200.0,6,45.2,0,0,,0,0,0.0,22,66.7,Housing,219228.64,42,0
100033,70,F,Sfax,Secondary,0.314,41.0,0.0,61,93.8,18,39.7,0,0,,0,0,0.0,26,33.3,Consumer,11549.27,12,1
100034,34,F,Tunis,Secondary,0.533,6.8,0.0,43,72.68,10,42.6,1,48,,0,0,0.0,17,100.0,Consumer,17494.87,24,1
100035,23,M,Béja,Secondary,0.709,84.4,0.0,50,200.0,14,43.0,1,25,,0,1,2000.0,26,66.7,Housing,538196.05,27,0
100036,21,M,Siliana,University,0.904,67.7,0.4,66,31.3,9,53.6,1,48,,0,1,2000.0,17,66.7,Consumer,15574.61,51,0
100037,54,F,Sousse,Some University,0.481,66.8,0.0,58,141.61,12,57.1,0,0,2.3,214,0,0.0,5,66.7,Housing,152466.5,49,0
100038,65,F,Bizerte,Secondary,0.898,47.6,0.2,81,200.0,18,36.2,0,0,,0,0,0.0,17,66.7,Housing,421396.06,31,0
100039,23,F,Kef,Some University,0.316,56.5,0.0,80,200.0,19,57.0,1,34,1.51,199,0,0.0,3,66.7,Vehicle,55909.67,20,0
100040,70,M,Kairouan,Secondary,0.827,48.1,0.0,31,165.7,10,78.6,1,15,,0,0,0.0,6,33.3,Corporate,96495.27,31,0
100041,51,F,Béja,Primary,0.811,79.1,0.0,106,38.14,12,73.7,0,0,,0,0,0.0,23,66.7,Consumer,14857.79,51,0
100042,34,F,Béja,Secondary,0.572,41.9,0.0,34,200.0,19,49.4,0,0,,0,0,0.0,12,66.7,Housing,439703.01,34,0
100043,41,M,Béja,Secondary,0.962,58.8,0.2,15,200.0,12,78.3,0,0,,0,0,0.0,17,66.7,Housing,217965.06,18,0
100044,21,F,Bizerte,Some University,0.813,75.1,0.0,120,200.0,13,63.8,1,47,,0,0,0.0,7,66.7,Business,58600.31,14,0
100045,53,M,Sousse,Secondary,0.524,77.7,0.0,120,71.87,15,41.2,0,0,,0,0,0.0,6,66.7,Consumer,20830.52,28,0
100046,21,F,Béja,Secondary,0.834,57.9,0.0,72,200.0,8,38.2,0,0,4.03,182,0,0.0,8,66.7,Business,94502.75,19,0
100047,21,F,Monastir,University,0.772,79.4,0.0,112,64.48,19,43.4,1,18,,0,0,0.0,10,33.3,Consumer,29241.88,48,0
100048,30,F,Sousse,Some University,0.972,69.9,0.0,38,122.4,4,33.0,1,24,,0,0,0.0,8,66.7,Vehicle,35758.46,25,0
100049,70,F,Tunis,Secondary,0.839,44.3,0.0,29,58.55,7,77.8,1,43,,0,0,0.0,9,100.0,Consumer,27470.49,54,0
100050,38,F,Béja,University,0.268,24.9,0.2,23,75.19,17,48.3,1,25,,0,0,0.0,10,66.7,Consumer,26918.8,42,1
100051,21,F,Kef,Secondary,0.65,77.7,0.0,50,24.55,13,38.8,0,0,,0,0,0.0,10,66.7,Consumer,7152.77,31,0
100052,41,F,Béja,Secondary,0.118,26.1,0.4,14,153.57,17,50.7,1,9,,0,1,2000.0,16,66.7,Housing,146893.68,41,1
100053,49,M,Béja,Secondary,0.752,90.3,0.0,24,153.81,5,42.2,1,14,,0,0,0.0,2,66.7,Consumer,49303.17,26,0
100054,70,M,Tataouine,Primary,0.596,80.9,0.0,34,200.0,17,60.3,0,0,,0,1,2000.0,21,33.3,Business,81545.92,19,0
100055,31,F,Monastir,Secondary,0.419,17.3,0.0,34,69.11,11,36.9,1,9,,0,0,0.0,15,33.3,Consumer,33607.62,58,1
100056,21,F,Sfax,Secondary,0.707,33.0,0.0,98,200.0,13,34.0,1,35,,0,0,0.0,7,100.0,Housing,246946.4,39,0
100057,70,M,Siliana,Secondary,0.763,57.2,0.5,45,200.0,16,49.4,1,46,,0,0,0.0,18,66.7,Consumer,28462.15,12,0
100058,41,F,Bizerte,University,0.806,76.2,0.0,120,200.0,17,80.7,1,6,,0,0,0.0,11,66.7,Housing,263187.53,27,0
100059,21,F,Gabès,University,0.626,47.4,0.0,24,200.0,4,41.9,1,21,,0,0,0.0,10,33.3,Housing,155429.01,20,0
100060,31,F,Kef,University,0.603,78.5,0.2,51,200.0,16,65.6,1,43,,0,0,0.0,19,66.7,Housing,186672.28,24,0
100061,21,F,Bizerte,Secondary,0.307,66.5,0.0,15,128.99,8,78.9,1,41,,0,0,0.0,27,66.7,Consumer,17560.23,15,0
100062,70,M,Jendouba,University,0.746,53.9,0.0,47,116.03,7,54.5,1,14,,0,0,0.0,28,66.7,Business,39915.48,24,0
100063,48,M,Jendouba,Secondary,0.826,51.1,0.0,39,121.05,11,47.6,1,49,,0,0,0.0,3,66.7,Consumer,57567.45,45,0
100064,25,F,Béja,Secondary,0.316,74.5,0.0,67,101.54,13,51.7,1,16,,0,0,0.0,11,66.7,Business,82563.68,51,0
100065,65,F,Jendouba,Some University,0.726,32.0,0.0,35,182.79,11,31.0,1,35,,0,0,0.0,20,66.7,Housing,121586.73,29,0
100066,29,M,Sousse,Some University,0.398,53.4,0.2,106,174.9,8,78.5,1,5,,0,0,0.0,26,66.7,Business,92517.23,37,0
100067,31,F,Jendouba,University,0.727,86.0,0.0,33,200.0,16,53.4,1,37,,0,1,2000.0,6,66.7,Housing,395286.81,14,0
100068,21,F,Jendouba,University,0.529,75.1,0.0,84,200.0,20,41.3,1,19,,0,0,0.0,27,66.7,Housing,121793.08,16,0
100069,21,F,Sousse,Secondary,0.602,30.5,0.2,120,97.97,20,39.7,1,39,,0,0,0.0,27,66.7,Consumer,40670.91,38,1
100070,70,F,Mahdia,Some University,0.601,61.9,0.2,120,200.0,18,65.8,0,0,,0,0,0.0,17,33.3,Housing,225955.56,52,0
100071,63,M,Béja,Secondary,0.826,27.7,0.0,66,121.53,4,30.8,0,0,,0,0,0.0,6,66.7,Consumer,19196.17,16,0
100072,21,F,Jendouba,Secondary,0.78,53.1,0.0,59,70.45,7,42.5,0,0,,0,0,0.0,3,66.7,Consumer,19362.59,32,0
100073,21,F,Béja,Some University,0.325,47.0,0.4,56,38.78,14,78.8,1,39,,0,0,0.0,15,66.7,Consumer,22559.03,59,0
100074,21,M,Sousse,University,0.706,67.9,0.0,120,35.64,10,40.6,1,20,,0,1,2000.0,23,66.7,Consumer,18307.03,47,0
100075,33,F,Gabès,Secondary,0.613,43.3,0.2,46,130.04,14,58.2,0,0,,0,0,0.0,3,33.3,Business,43017.22,21,0
100076,23,M,Siliana,Some University,0.87,56.3,0.0,50,200.0,17,61.4,1,41,,0,0,0.0,7,66.7,Housing,185664.54,26,0
100077,70,F,Tunis,Graduate,0.837,78.3,0.0,29,64.36,19,30.5,1,11,,0,1,2000.0,23,100.0,Consumer,34559.66,57,0
